CODE,YEAR,MONTH,VALUE
LAUCN010010000000003,1996,M07,3.7
LAUCN010010000000003,1996,M08,3.8
LAUCN010010000000003,1996,M09,3.7
LAUCN010010000000003,1996,M10,4
LAUCN010010000000003,1996,M11,3.5
LAUCN010010000000003,1996,M12,3.5
LAUCN010010000000003,1996,M13,3.9
LAUCN010010000000003,1997,M01,4.1
LAUCN010010000000003,1997,M02,4.5
LAUCN010010000000003,1997,M03,4.1
LAUCN010010000000003,1997,M04,3.8
LAUCN010010000000003,1997,M05,3.8
LAUCN010010000000003,1997,M06,4.9
LAUCN010010000000003,1997,M07,4.3
LAUCN010010000000003,1997,M08,4.6
LAUCN010010000000003,1997,M09,4.1
LAUCN010010000000003,1997,M10,3.6
LAUCN010010000000003,1997,M11,2.8
LAUCN010010000000003,1997,M12,2.6
LAUCN010010000000003,1997,M13,3.9
LAUCN010010000000003,1998,M01,2.9
LAUCN010010000000003,1998,M02,2.9
LAUCN010010000000003,1998,M03,2.7
LAUCN010010000000003,1998,M04,2.1
LAUCN010010000000003,1998,M05,2.4
LAUCN010010000000003,1998,M06,3.4
LAUCN010010000000003,1998,M07,3.3
LAUCN010010000000003,1998,M08,3.5
LAUCN010010000000003,1998,M09,3.7
LAUCN010010000000003,1998,M10,3.6
LAUCN010010000000003,1998,M11,3.4
LAUCN010010000000003,1998,M12,3.7
LAUCN010010000000003,1998,M13,3.1
LAUCN010010000000003,1999,M01,3.8
LAUCN010010000000003,1999,M02,3.7
LAUCN010010000000003,1999,M03,3.4
LAUCN010010000000003,1999,M04,3.5
LAUCN010010000000003,1999,M05,3.2
LAUCN010010000000003,1999,M06,4.2
LAUCN010010000000003,1999,M07,4.3
LAUCN010010000000003,1999,M08,4.6
LAUCN010010000000003,1999,M09,4.4
LAUCN010010000000003,1999,M10,3.9
LAUCN010010000000003,1999,M11,3.5
LAUCN010010000000003,1999,M12,3.4
LAUCN010010000000003,1999,M13,3.8
LAUCN010010000000003,2000,M01,4.4
LAUCN010010000000003,2000,M02,4.5
LAUCN010010000000003,2000,M03,3.9
LAUCN010010000000003,2000,M04,3.1
LAUCN010010000000003,2000,M05,3.5
LAUCN010010000000003,2000,M06,4.3
LAUCN010010000000003,2000,M07,4.1
LAUCN010010000000003,2000,M08,6
LAUCN010010000000003,2000,M09,3.9
LAUCN010010000000003,2000,M10,3.8
LAUCN010010000000003,2000,M11,3.6
LAUCN010010000000003,2000,M12,3.2
LAUCN010010000000003,2000,M13,4
LAUCN010010000000003,2001,M01,3.8
LAUCN010010000000003,2001,M02,3.7
LAUCN010010000000003,2001,M03,3.6
LAUCN010010000000003,2001,M04,3.1
LAUCN010010000000003,2001,M05,2.9
LAUCN010010000000003,2001,M06,4.1
LAUCN010010000000003,2001,M07,4.2
LAUCN010010000000003,2001,M08,4.8
LAUCN010010000000003,2001,M09,4.4
LAUCN010010000000003,2001,M10,4.5
LAUCN010010000000003,2001,M11,5
LAUCN010010000000003,2001,M12,5
LAUCN010010000000003,2001,M13,4.1
LAUCN010010000000003,2002,M01,5.2
LAUCN010010000000003,2002,M02,5.2
LAUCN010010000000003,2002,M03,4.7
LAUCN010010000000003,2002,M04,3.9
LAUCN010010000000003,2002,M05,4
LAUCN010010000000003,2002,M06,5
LAUCN010010000000003,2002,M07,4.6
LAUCN010010000000003,2002,M08,5.2
LAUCN010010000000003,2002,M09,4.8
LAUCN010010000000003,2002,M10,4.9
LAUCN010010000000003,2002,M11,5.2
LAUCN010010000000003,2002,M12,4.9
LAUCN010010000000003,2002,M13,4.8
LAUCN010010000000003,2003,M01,5.1
LAUCN010010000000003,2003,M02,5
LAUCN010010000000003,2003,M03,4.5
LAUCN010010000000003,2003,M04,4.3
LAUCN010010000000003,2003,M05,4.5
LAUCN010010000000003,2003,M06,5.9
LAUCN010010000000003,2003,M07,5.2
LAUCN010010000000003,2003,M08,5.6
LAUCN010010000000003,2003,M09,5.2
LAUCN010010000000003,2003,M10,5.3
LAUCN010010000000003,2003,M11,5.2
LAUCN010010000000003,2003,M12,4.7
LAUCN010010000000003,2003,M13,5.1
LAUCN010010000000003,2004,M01,5.1
LAUCN010010000000003,2004,M02,5.1
LAUCN010010000000003,2004,M03,5
LAUCN010010000000003,2004,M04,4.3
LAUCN010010000000003,2004,M05,4.4
LAUCN010010000000003,2004,M06,5.3
LAUCN010010000000003,2004,M07,5
LAUCN010010000000003,2004,M08,5.2
LAUCN010010000000003,2004,M09,4.8
LAUCN010010000000003,2004,M10,4.8
LAUCN010010000000003,2004,M11,4.5
LAUCN010010000000003,2004,M12,4.1
LAUCN010010000000003,2004,M13,4.8
LAUCN010010000000003,2005,M01,4.6
LAUCN010010000000003,2005,M02,4.8
LAUCN010010000000003,2005,M03,3.9
LAUCN010010000000003,2005,M04,3.3
LAUCN010010000000003,2005,M05,3.3
LAUCN010010000000003,2005,M06,4.2
LAUCN010010000000003,2005,M07,3.9
LAUCN010010000000003,2005,M08,4
LAUCN010010000000003,2005,M09,3.5
LAUCN010010000000003,2005,M10,3.6
LAUCN010010000000003,2005,M11,3.4
LAUCN010010000000003,2005,M12,3.4
LAUCN010010000000003,2005,M13,3.8
LAUCN010010000000003,2006,M01,3.8
LAUCN010010000000003,2006,M02,3.8
LAUCN010010000000003,2006,M03,3.2
LAUCN010010000000003,2006,M04,2.7
LAUCN010010000000003,2006,M05,2.7
LAUCN010010000000003,2006,M06,3.6
LAUCN010010000000003,2006,M07,3.9
LAUCN010010000000003,2006,M08,3.8
LAUCN010010000000003,2006,M09,3.2
LAUCN010010000000003,2006,M10,3.2
LAUCN010010000000003,2006,M11,3.1
LAUCN010010000000003,2006,M12,3
LAUCN010010000000003,2006,M13,3.3
LAUCN010010000000003,2007,M01,3.6
LAUCN010010000000003,2007,M02,3.5
LAUCN010010000000003,2007,M03,3
LAUCN010010000000003,2007,M04,2.6
LAUCN010010000000003,2007,M05,2.6
LAUCN010010000000003,2007,M06,3.4
LAUCN010010000000003,2007,M07,3.4
LAUCN010010000000003,2007,M08,3.7
LAUCN010010000000003,2007,M09,3.5
LAUCN010010000000003,2007,M10,3.2
LAUCN010010000000003,2007,M11,3.5
LAUCN010010000000003,2007,M12,3.8
LAUCN010010000000003,2007,M13,3.3
LAUCN010010000000003,2008,M01,4.3
LAUCN010010000000003,2008,M02,4.3
LAUCN010010000000003,2008,M03,4.2
LAUCN010010000000003,2008,M04,3.6
LAUCN010010000000003,2008,M05,4.5
LAUCN010010000000003,2008,M06,5.4
LAUCN010010000000003,2008,M07,5.4
LAUCN010010000000003,2008,M08,5.7
LAUCN010010000000003,2008,M09,5.4
LAUCN010010000000003,2008,M10,5.8
LAUCN010010000000003,2008,M11,6.1
LAUCN010010000000003,2008,M12,7
LAUCN010010000000003,2008,M13,5.1
LAUCN010010000000003,2009,M01,8.6
LAUCN010010000000003,2009,M02,9.6
LAUCN010010000000003,2009,M03,9.4
LAUCN010010000000003,2009,M04,8.8
LAUCN010010000000003,2009,M05,9.2
LAUCN010010000000003,2009,M06,10.3
LAUCN010010000000003,2009,M07,10.1
LAUCN010010000000003,2009,M08,10.3
LAUCN010010000000003,2009,M09,10.3
LAUCN010010000000003,2009,M10,10.1
LAUCN010010000000003,2009,M11,9.8
LAUCN010010000000003,2009,M12,10.1
LAUCN010010000000003,2009,M13,9.7
LAUCN010010000000003,2010,M01,10.6
LAUCN010010000000003,2010,M02,10.1
LAUCN010010000000003,2010,M03,9.5
LAUCN010010000000003,2010,M04,8.5
LAUCN010010000000003,2010,M05,8.1
LAUCN010010000000003,2010,M06,8.5
LAUCN010010000000003,2010,M07,8.5
LAUCN010010000000003,2010,M08,8.7
LAUCN010010000000003,2010,M09,8.6
LAUCN010010000000003,2010,M10,8.5
LAUCN010010000000003,2010,M11,8.6
LAUCN010010000000003,2010,M12,8.6
LAUCN010010000000003,2010,M13,8.9
LAUCN010010000000003,2011,M01,9.3
LAUCN010010000000003,2011,M02,9.2
LAUCN010010000000003,2011,M03,8.6
LAUCN010010000000003,2011,M04,8.2
LAUCN010010000000003,2011,M05,8.3
LAUCN010010000000003,2011,M06,9.3
LAUCN010010000000003,2011,M07,8.8
LAUCN010010000000003,2011,M08,8.7
LAUCN010010000000003,2011,M09,8.3
LAUCN010010000000003,2011,M10,7.7
LAUCN010010000000003,2011,M11,7
LAUCN010010000000003,2011,M12,6.9
LAUCN010010000000003,2011,M13,8.4
LAUCN010010000000003,2012,M01,7.2
LAUCN010010000000003,2012,M02,7.3
LAUCN010010000000003,2012,M03,6.9
LAUCN010010000000003,2012,M04,6.2
LAUCN010010000000003,2012,M05,6.7
LAUCN010010000000003,2012,M06,7.8
LAUCN010010000000003,2012,M07,7.6
LAUCN010010000000003,2012,M08,7.5
LAUCN010010000000003,2012,M09,6.7
LAUCN010010000000003,2012,M10,6.6
LAUCN010010000000003,2012,M11,6.1
LAUCN010010000000003,2012,M12,6.3
LAUCN010010000000003,2012,M13,6.9
LAUCN010010000000003,2013,M01,7.1
LAUCN010010000000003,2013,M02,6.9
LAUCN010010000000003,2013,M03,6.1
LAUCN010010000000003,2013,M04,5.4
LAUCN010010000000003,2013,M05,5.6
LAUCN010010000000003,2013,M06,6.6
LAUCN010010000000003,2013,M07,6.4
LAUCN010010000000003,2013,M08,6.5
LAUCN010010000000003,2013,M09,6.2
LAUCN010010000000003,2013,M10,6.2
LAUCN010010000000003,2013,M11,5.8
LAUCN010010000000003,2013,M12,5.9
LAUCN010010000000003,2013,M13,6.2
LAUCN010010000000003,2014,M01,6.6
LAUCN010010000000003,2014,M02,6.7
LAUCN010010000000003,2014,M03,6.4
LAUCN010010000000003,2014,M04,5.4
LAUCN010010000000003,2014,M05,5.5
LAUCN010010000000003,2014,M06,6.2
LAUCN010010000000003,2014,M07,6.4
LAUCN010010000000003,2014,M08,6.1
LAUCN010010000000003,2014,M09,5.4
LAUCN010010000000003,2014,M10,5.4
LAUCN010010000000003,2014,M11,5.1
LAUCN010010000000003,2014,M12,4.8
LAUCN010010000000003,2014,M13,5.8
LAUCN010010000000003,2015,M01,5.5
LAUCN010010000000003,2015,M02,5.4
LAUCN010010000000003,2015,M03,5
LAUCN010010000000003,2015,M04,4.6
LAUCN010010000000003,2015,M05,5.1
LAUCN010010000000003,2015,M06,5.6
LAUCN010010000000003,2015,M07,5.7
LAUCN010010000000003,2015,M08,5.6
LAUCN010010000000003,2015,M09,5
LAUCN010010000000003,2015,M10,5
LAUCN010010000000003,2015,M11,4.9
LAUCN010010000000003,2015,M12,4.9
LAUCN010010000000003,2015,M13,5.2
LAUCN010010000000003,2016,M01,5.4
LAUCN010010000000003,2016,M02,5.5
LAUCN010010000000003,2016,M03,5.2
LAUCN010010000000003,2016,M04,4.5
LAUCN010010000000003,2016,M05,4.6
LAUCN010010000000003,2016,M06,5.5
LAUCN010010000000003,2016,M07,5.3
LAUCN010010000000003,2016,M08,5.4
LAUCN010010000000003,2016,M09,5.2
LAUCN010010000000003,2016,M10,5.3
LAUCN010010000000003,2016,M11,4.8
LAUCN010010000000003,2016,M12,4.7
LAUCN010010000000003,2016,M13,5.1
LAUCN010010000000003,2017,M01,5.2
LAUCN010010000000003,2017,M02,5
LAUCN010010000000003,2017,M03,4.3
LAUCN010010000000003,2017,M04,3.5
LAUCN010010000000003,2017,M05,3.4
LAUCN010010000000003,2017,M06,4.3
LAUCN010010000000003,2017,M07,4.1
LAUCN010010000000003,2017,M08,3.9
LAUCN010010000000003,2017,M09,3.2
LAUCN010010000000003,2017,M10,3.3
LAUCN010010000000003,2017,M11,3
LAUCN010010000000003,2017,M12,3
LAUCN010010000000003,2017,M13,3.9
LAUCN010010000000003,2018,M01,3.7
LAUCN010010000000003,2018,M02,3.8
LAUCN010010000000003,2018,M03,3.5
LAUCN010010000000003,2018,M04,3.2
LAUCN010010000000003,2018,M05,3.4
LAUCN010010000000003,2018,M06,4.5
LAUCN010010000000004,1990,M01,1050
LAUCN010010000000004,1990,M02,1094
LAUCN010010000000004,1990,M03,967
LAUCN010010000000004,1990,M04,1106
LAUCN010010000000004,1990,M05,1011
LAUCN010010000000004,1990,M06,1204
LAUCN010010000000004,1990,M07,1027
LAUCN010010000000004,1990,M08,1138
LAUCN010010000000004,1990,M09,1221
LAUCN010010000000004,1990,M10,1217
LAUCN010010000000004,1990,M11,1051
LAUCN010010000000004,1990,M12,1054
LAUCN010010000000004,1990,M13,1095
LAUCN010010000000004,1991,M01,1114
LAUCN010010000000004,1991,M02,1307
LAUCN010010000000004,1991,M03,1223
LAUCN010010000000004,1991,M04,1132
LAUCN010010000000004,1991,M05,1114
LAUCN010010000000004,1991,M06,1345
LAUCN010010000000004,1991,M07,1154
LAUCN010010000000004,1991,M08,1209
LAUCN010010000000004,1991,M09,1141
LAUCN010010000000004,1991,M10,1028
LAUCN010010000000004,1991,M11,998
LAUCN010010000000004,1991,M12,1046
LAUCN010010000000004,1991,M13,1151
LAUCN010010000000004,1992,M01,1200
LAUCN010010000000004,1992,M02,1215
LAUCN010010000000004,1992,M03,1116
LAUCN010010000000004,1992,M04,981
LAUCN010010000000004,1992,M05,1064
LAUCN010010000000004,1992,M06,1333
LAUCN010010000000004,1992,M07,1204
LAUCN010010000000004,1992,M08,1233
LAUCN010010000000004,1992,M09,1154
LAUCN010010000000004,1992,M10,1109
LAUCN010010000000004,1992,M11,1180
LAUCN010010000000004,1992,M12,1077
LAUCN010010000000004,1992,M13,1156
LAUCN010010000000004,1993,M01,1102
LAUCN010010000000004,1993,M02,1135
LAUCN010010000000004,1993,M03,1125
LAUCN010010000000004,1993,M04,1143
LAUCN010010000000004,1993,M05,1219
LAUCN010010000000004,1993,M06,1329
LAUCN010010000000004,1993,M07,1189
LAUCN010010000000004,1993,M08,1045
LAUCN010010000000004,1993,M09,1022
LAUCN010010000000004,1993,M10,1026
LAUCN010010000000004,1993,M11,944
LAUCN010010000000004,1993,M12,860
LAUCN010010000000004,1993,M13,1095
LAUCN010010000000004,1994,M01,948
LAUCN010010000000004,1994,M02,1052
LAUCN010010000000004,1994,M03,988
LAUCN010010000000004,1994,M04,828
LAUCN010010000000004,1994,M05,761
LAUCN010010000000004,1994,M06,1083
LAUCN010010000000004,1994,M07,1044
LAUCN010010000000004,1994,M08,1032
LAUCN010010000000004,1994,M09,944
LAUCN010010000000004,1994,M10,979
LAUCN010010000000004,1994,M11,924
LAUCN010010000000004,1994,M12,771
LAUCN010010000000004,1994,M13,946
LAUCN010010000000004,1995,M01,1111
LAUCN010010000000004,1995,M02,1208
LAUCN010010000000004,1995,M03,1076
LAUCN010010000000004,1995,M04,1205
LAUCN010010000000004,1995,M05,1242
LAUCN010010000000004,1995,M06,1321
LAUCN010010000000004,1995,M07,1466
LAUCN010010000000004,1995,M08,1152
LAUCN010010000000004,1995,M09,1117
LAUCN010010000000004,1995,M10,977
LAUCN010010000000004,1995,M11,878
LAUCN010010000000004,1995,M12,829
LAUCN010010000000004,1995,M13,1132
LAUCN010010000000004,1996,M01,868
LAUCN010010000000004,1996,M02,927
LAUCN010010000000004,1996,M03,833
LAUCN010010000000004,1996,M04,800
LAUCN010010000000004,1996,M05,762
LAUCN010010000000004,1996,M06,806
LAUCN010010000000004,1996,M07,746
LAUCN010010000000004,1996,M08,766
LAUCN010010000000004,1996,M09,758
LAUCN010010000000004,1996,M10,809
LAUCN010010000000004,1996,M11,721
LAUCN010010000000004,1996,M12,707
LAUCN010010000000004,1996,M13,792
LAUCN010010000000004,1997,M01,847
LAUCN010010000000004,1997,M02,939
LAUCN010010000000004,1997,M03,850
LAUCN010010000000004,1997,M04,785
LAUCN010010000000004,1997,M05,793
LAUCN010010000000004,1997,M06,1029
LAUCN010010000000004,1997,M07,929
LAUCN010010000000004,1997,M08,972
LAUCN010010000000004,1997,M09,877
LAUCN010010000000004,1997,M10,761
LAUCN010010000000004,1997,M11,606
LAUCN010010000000004,1997,M12,559
LAUCN010010000000004,1997,M13,829
LAUCN010010000000004,1998,M01,619
LAUCN010010000000004,1998,M02,615
LAUCN010010000000004,1998,M03,587
LAUCN010010000000004,1998,M04,459
LAUCN010010000000004,1998,M05,516
LAUCN010010000000004,1998,M06,742
LAUCN010010000000004,1998,M07,715
LAUCN010010000000004,1998,M08,758
LAUCN010010000000004,1998,M09,810
LAUCN010010000000004,1998,M10,785
LAUCN010010000000004,1998,M11,756
LAUCN010010000000004,1998,M12,814
LAUCN010010000000004,1998,M13,681
LAUCN010010000000004,1999,M01,852
LAUCN010010000000004,1999,M02,813
LAUCN010010000000004,1999,M03,768
LAUCN010010000000004,1999,M04,775
LAUCN010010000000004,1999,M05,708
LAUCN010010000000004,1999,M06,941
LAUCN010010000000004,1999,M07,971
LAUCN010010000000004,1999,M08,1053
LAUCN010010000000004,1999,M09,978
LAUCN010010000000004,1999,M10,876
LAUCN010010000000004,1999,M11,786
LAUCN010010000000004,1999,M12,754
LAUCN010010000000004,1999,M13,856
LAUCN010010000000004,2000,M01,953
LAUCN010010000000004,2000,M02,984
LAUCN010010000000004,2000,M03,838
LAUCN010010000000004,2000,M04,681
LAUCN010010000000004,2000,M05,762
LAUCN010010000000004,2000,M06,934
LAUCN010010000000004,2000,M07,883
LAUCN010010000000004,2000,M08,1317
LAUCN010010000000004,2000,M09,833
LAUCN010010000000004,2000,M10,817
LAUCN010010000000004,2000,M11,791
LAUCN010010000000004,2000,M12,700
LAUCN010010000000004,2000,M13,874
LAUCN010010000000004,2001,M01,831
LAUCN010010000000004,2001,M02,804
LAUCN010010000000004,2001,M03,786
LAUCN010010000000004,2001,M04,679
LAUCN010010000000004,2001,M05,637
LAUCN010010000000004,2001,M06,889
LAUCN010010000000004,2001,M07,920
LAUCN010010000000004,2001,M08,1044
LAUCN010010000000004,2001,M09,965
LAUCN010010000000004,2001,M10,1000
LAUCN010010000000004,2001,M11,1122
LAUCN010010000000004,2001,M12,1117
LAUCN010010000000004,2001,M13,900
LAUCN010010000000004,2002,M01,1135
LAUCN010010000000004,2002,M02,1142
LAUCN010010000000004,2002,M03,1020
LAUCN010010000000004,2002,M04,858
LAUCN010010000000004,2002,M05,871
LAUCN010010000000004,2002,M06,1088
LAUCN010010000000004,2002,M07,1025
LAUCN010010000000004,2002,M08,1144
LAUCN010010000000004,2002,M09,1061
LAUCN010010000000004,2002,M10,1098
LAUCN010010000000004,2002,M11,1156
LAUCN010010000000004,2002,M12,1110
LAUCN010010000000004,2002,M13,1059
LAUCN010010000000004,2003,M01,1153
LAUCN010010000000004,2003,M02,1117
LAUCN010010000000004,2003,M03,1013
LAUCN010010000000004,2003,M04,964
LAUCN010010000000004,2003,M05,1021
LAUCN010010000000004,2003,M06,1339
LAUCN010010000000004,2003,M07,1183
LAUCN010010000000004,2003,M08,1269
LAUCN010010000000004,2003,M09,1166
LAUCN010010000000004,2003,M10,1211
LAUCN010010000000004,2003,M11,1202
LAUCN010010000000004,2003,M12,1068
LAUCN010010000000004,2003,M13,1142
LAUCN010010000000004,2004,M01,1172
LAUCN010010000000004,2004,M02,1171
LAUCN010010000000004,2004,M03,1150
LAUCN010010000000004,2004,M04,999
LAUCN010010000000004,2004,M05,1009
LAUCN010010000000004,2004,M06,1245
LAUCN010010000000004,2004,M07,1169
LAUCN010010000000004,2004,M08,1215
LAUCN010010000000004,2004,M09,1112
LAUCN010010000000004,2004,M10,1126
LAUCN010010000000004,2004,M11,1051
LAUCN010010000000004,2004,M12,956
LAUCN010010000000004,2004,M13,1115
LAUCN010010000000004,2005,M01,1080
LAUCN010010000000004,2005,M02,1129
LAUCN010010000000004,2005,M03,914
LAUCN010010000000004,2005,M04,775
LAUCN010010000000004,2005,M05,789
LAUCN010010000000004,2005,M06,1022
LAUCN010010000000004,2005,M07,931
LAUCN010010000000004,2005,M08,954
LAUCN010010000000004,2005,M09,831
LAUCN010010000000004,2005,M10,863
LAUCN010010000000004,2005,M11,834
LAUCN010010000000004,2005,M12,816
LAUCN010010000000004,2005,M13,912
LAUCN010010000000004,2006,M01,918
LAUCN010010000000004,2006,M02,916
LAUCN010010000000004,2006,M03,765
LAUCN010010000000004,2006,M04,659
LAUCN010010000000004,2006,M05,654
LAUCN010010000000004,2006,M06,894
LAUCN010010000000004,2006,M07,958
LAUCN010010000000004,2006,M08,919
LAUCN010010000000004,2006,M09,784
LAUCN010010000000004,2006,M10,780
LAUCN010010000000004,2006,M11,767
LAUCN010010000000004,2006,M12,747
LAUCN010010000000004,2006,M13,813
LAUCN010010000000004,2007,M01,861
LAUCN010010000000004,2007,M02,850
LAUCN010010000000004,2007,M03,740
LAUCN010010000000004,2007,M04,619
LAUCN010010000000004,2007,M05,626
LAUCN010010000000004,2007,M06,841
LAUCN010010000000004,2007,M07,824
LAUCN010010000000004,2007,M08,891
LAUCN010010000000004,2007,M09,847
LAUCN010010000000004,2007,M10,787
LAUCN010010000000004,2007,M11,852
LAUCN010010000000004,2007,M12,931
LAUCN010010000000004,2007,M13,806
LAUCN010010000000004,2008,M01,1052
LAUCN010010000000004,2008,M02,1047
LAUCN010010000000004,2008,M03,1035
LAUCN010010000000004,2008,M04,890
LAUCN010010000000004,2008,M05,1107
LAUCN010010000000004,2008,M06,1347
LAUCN010010000000004,2008,M07,1338
LAUCN010010000000004,2008,M08,1417
LAUCN010010000000004,2008,M09,1333
LAUCN010010000000004,2008,M10,1436
LAUCN010010000000004,2008,M11,1497
LAUCN010010000000004,2008,M12,1704
LAUCN010010000000004,2008,M13,1267
LAUCN010010000000004,2009,M01,2113
LAUCN010010000000004,2009,M02,2369
LAUCN010010000000004,2009,M03,2325
LAUCN010010000000004,2009,M04,2182
LAUCN010010000000004,2009,M05,2274
LAUCN010010000000004,2009,M06,2583
LAUCN010010000000004,2009,M07,2541
LAUCN010010000000004,2009,M08,2566
LAUCN010010000000004,2009,M09,2522
LAUCN010010000000004,2009,M10,2471
LAUCN010010000000004,2009,M11,2400
LAUCN010010000000004,2009,M12,2474
LAUCN010010000000004,2009,M13,2402
LAUCN010010000000004,2010,M01,2655
LAUCN010010000000004,2010,M02,2529
LAUCN010010000000004,2010,M03,2380
LAUCN010010000000004,2010,M04,2197
LAUCN010010000000004,2010,M05,2099
LAUCN010010000000004,2010,M06,2237
LAUCN010010000000004,2010,M07,2200
LAUCN010010000000004,2010,M08,2241
LAUCN010010000000004,2010,M09,2203
LAUCN010010000000004,2010,M10,2192
LAUCN010010000000004,2010,M11,2226
LAUCN010010000000004,2010,M12,2225
LAUCN010010000000004,2010,M13,2282
LAUCN010010000000004,2011,M01,2418
LAUCN010010000000004,2011,M02,2374
LAUCN010010000000004,2011,M03,2232
LAUCN010010000000004,2011,M04,2114
LAUCN010010000000004,2011,M05,2139
LAUCN010010000000004,2011,M06,2434
LAUCN010010000000004,2011,M07,2283
LAUCN010010000000004,2011,M08,2237
LAUCN010010000000004,2011,M09,2135
LAUCN010010000000004,2011,M10,1988
LAUCN010010000000004,2011,M11,1799
LAUCN010010000000004,2011,M12,1760
LAUCN010010000000004,2011,M13,2159
LAUCN010010000000004,2012,M01,1841
LAUCN010010000000004,2012,M02,1862
LAUCN010010000000004,2012,M03,1753
LAUCN010010000000004,2012,M04,1592
LAUCN010010000000004,2012,M05,1727
LAUCN010010000000004,2012,M06,2036
LAUCN010010000000004,2012,M07,1975
LAUCN010010000000004,2012,M08,1949
LAUCN010010000000004,2012,M09,1716
LAUCN010010000000004,2012,M10,1721
LAUCN010010000000004,2012,M11,1560
LAUCN010010000000004,2012,M12,1613
LAUCN010010000000004,2012,M13,1779
LAUCN010010000000004,2013,M01,1822
LAUCN010010000000004,2013,M02,1788
LAUCN010010000000004,2013,M03,1573
LAUCN010010000000004,2013,M04,1390
LAUCN010010000000004,2013,M05,1454
LAUCN010010000000004,2013,M06,1726
LAUCN010010000000004,2013,M07,1667
LAUCN010010000000004,2013,M08,1662
LAUCN010010000000004,2013,M09,1582
LAUCN010010000000004,2013,M10,1583
LAUCN010010000000004,2013,M11,1500
LAUCN010010000000004,2013,M12,1517
LAUCN010010000000004,2013,M13,1605
LAUCN010010000000004,2014,M01,1681
LAUCN010010000000004,2014,M02,1731
LAUCN010010000000004,2014,M03,1653
LAUCN010010000000004,2014,M04,1394
LAUCN010010000000004,2014,M05,1413
LAUCN010010000000004,2014,M06,1615
LAUCN010010000000004,2014,M07,1638
